,befor CBM50,befor GH23,befor GH3,befor GT2,befor GT4,befor GT51,befor CBM48,befor GH1,befor GH13_11,befor GH13_9,befor GH16_3,befor GH2,befor CBM32,befor CBM5,befor GH0,befor GH13_10,befor GH13_16,befor GH13_26,befor GH15,befor GH20,befor GH24,befor GH29,befor GH43_34,befor GH92,befor GH95,after CBM50,after GH23,after GH3,after GT2,after GT4,after GT51,after CBM48,after GH1,after GH13_11,after GH13_9,after GH16_3,after GH2,after CBM32,after CBM5,after GH0,after GH13_10,after GH13_16,after GH13_26,after GH15,after GH20,after GH24,after GH29,after GH43_34,after GH92,after GH95,interaction,predict
24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.23760144138468,0.9237228035926819
25,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5022388011075519,1.7597836256027222
26,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4598650400105297,0.6138323545455933
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4828226895852101,0.7246799468994141
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19914949017777,1.076935052871704
29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39073730104222,0.5027500987052917
30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3.09185675824381,-2.4001846313476562
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656583894848103,0.304595947265625
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,-20.6956424956593,4.555279731750488
33,0,2,0,3,7,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25127575796067,0.0030017411336302757
34,0,2,0,3,7,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40662569374245,4.1379265785217285
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34317766406686,1.9552650451660156
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.658641922839736,1.6064355373382568
37,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3453918242657203,0.4846009612083435
38,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.6500859281764,1.4830005168914795
