	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s3	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s4	s40	s41	s42	s43	s44	s45	s46	s47	s48	s5	s6	s7	s8	s9
K00760	0.19	0.13228070175438597	0.3016	0.0	0.0	0.15	0.27	0.15	0.17075154730327144	0.17075154730327144	0.09	0.17585301837270342	0.23	0.0	0.15	0.5	0.0	0.0	0.0	0.31	0.0	0.15	0.0	0.17075154730327144	0.15	0.15	0.2	0.0	0.0	0.15	0.14	0.18	0.16	0.1320103092783505	0.18	0.52	0.5	0.3016	0.13228070175438597	0.35000000000000003	0.18	0.08	0.5	0.13228070175438597	0.18	0.14	0.3016	0.15
K00655	0.3653846153846154	0.13	0.29	0.0	0.0	0.15	0.54	0.15	0.1730061892130858	0.1730061892130858	0.09	0.18766404199475067	0.46	0.0	0.15	1.0	0.46666666666666673	0.2	0.0	0.7502	0.0	0.15	0.7021276595744681	0.1730061892130858	0.15	0.15	0.2	0.75	0.7000000000000001	0.15	0.14	0.4597142857142857	0.16	0.1306701030927835	0.4597142857142857	1.0758620689655174	0.35	0.29	0.13	0.2	0.4597142857142857	0.08	0.35	0.13	0.4597142857142857	0.14	0.29	0.15
K01595	0.19	0.13	0.29	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.5	0.2	0.2	0.0	0.3286	0.0	0.15	0.33	0.0	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18114285714285713	0.16	0.13	0.18114285714285713	0.52	0.25	0.29	0.13	0.0	0.18114285714285713	0.0	0.25	0.13	0.18114285714285713	0.14	0.29	0.15
K01902	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.1	0.23	0.0	0.15	0.5	0.26666666666666666	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	0.52	0.0	0.29	0.13	0.0	0.18	0.09777777777777778	0.0	0.13	0.18	0.14	0.29	0.15
K01465	0.3653846153846154	0.257719298245614	0.29	0.0	0.0	0.30608108108108106	0.72	0.3	0.17541114058355436	0.17541114058355436	0.09	0.16299212598425197	0.5952941176470589	0.0	0.2928571428571428	0.0	0.5333333333333333	0.21111111111111114	0.0	0.6324	0.0	0.2928571428571428	0.5897872340425532	0.17541114058355436	0.3077922077922078	0.2928571428571428	0.5	0.9	0.7000000000000001	0.25	0.2804314329738059	0.4482857142857143	0.2986666666666667	0.2620103092783505	0.4482857142857143	0.5439080459770115	0.25	0.29	0.257719298245614	0.2	0.4482857142857143	0.14222222222222222	0.25	0.257719298245614	0.4482857142857143	0.30800000000000005	0.29	0.30608108108108106
K01752	0.19	0.41964912280701755	0.29	0.0	0.0	0.2939189189189189	0.36	0.3	0.38900088417329803	0.38900088417329803	0.18	0.3667979002624672	0.23	0.0	0.18214285714285713	0.5	0.2	0.2	0.0	0.0	0.0	0.18214285714285713	0.0	0.38900088417329803	0.15	0.18214285714285713	0.5	0.5	0.4	0.15	0.558382126348228	0.3725714285714286	0.18133333333333332	0.2606701030927835	0.3725714285714286	0.52	0.0	0.29	0.41964912280701755	0.4	0.3725714285714286	0.26222222222222225	0.0	0.41964912280701755	0.3725714285714286	0.28	0.29	0.2939189189189189
K02887	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.1706012378426172	0.1706012378426172	0.09	0.1	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.1706012378426172	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1320103092783505	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K02343	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.10236220472440945	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.13	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K01885	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.0	0.0	0.4464705882352941	0.0	0.15	0.5	0.4	0.2	0.0	0.31	0.0	0.15	0.33	0.0	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	0.52	0.0	0.29	0.13	0.0	0.18	0.0	0.0	0.13	0.18	0.14	0.29	0.15
K01011	0.38	0.515438596491228	0.5568	0.0	0.0	0.3141891891891892	1.2600000000000002	0.6	0.0	0.0	0.18	0.16272965879265092	0.5411764705882354	0.0	0.35714285714285715	1.0	0.5777777777777778	0.33333333333333337	0.0	0.434	0.0	0.35714285714285715	0.6038297872340426	0.0	0.2961038961038961	0.35714285714285715	0.8	0.0	0.4	0.6	0.2784899845916795	0.6454285714285715	0.3413333333333333	0.514639175257732	0.6454285714285715	2.032183908045977	0.0	0.5568	0.515438596491228	0.0	0.6454285714285715	0.16	0.0	0.515438596491228	0.6454285714285715	0.5040000000000001	0.5568	0.3141891891891892
