	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48
4-HYDROXYPROLINE-EPIMERASE-RXN	0.19	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.2705882352941177	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.18	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0
N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	0.19	0.0	0.0	0.0	0.0	0.18	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.18	0.08	0.0
3PGAREARR-RXN	0.46769230769230774	0.2951443569553806	0.3440425531914894	0.27273195876288664	0.28508771929824567	0.2064285714285714	0.406	0.29	0.4317567567567568	0.28508771929824567	0.29	0.0	0.0	0.4317567567567568	0.27	0.44999999999999996	0.3147480106100796	0.3147480106100796	0.22999999999999998	0.23	0.0	0.17857142857142858	0.5	0.4444444444444445	0.0	0.0	0.3968	0.0	0.17857142857142858	0.3147480106100796	0.0	0.17857142857142858	0.2	0.45	0.4	0.15	0.2797842835130971	0.2064285714285714	0.20266666666666666	0.2064285714285714	1.5779310344827586	0.75	0.29	0.28508771929824567	0.6000000000000001	0.2064285714285714	0.1688888888888889	0.75
IMP-DEHYDROG-RXN	0.19	0.10288713910761156	0.33	0.1306701030927835	0.13	0.18	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.1701503094606543	0.1701503094606543	0.09	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.1701503094606543	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.18	1.5002298850574713	0.25	0.29	0.13	0.2	0.18	0.14222222222222222	0.25
RXN-15635	0.19	0.1	0.33	0.13335051546391752	0.13	0.24914285714285714	0.14	0.3364	0.15	0.13	0.3364	0.0	0.0	0.15	0.36	0.15	0.17	0.17	0.09	0.23	0.0	0.16428571428571428	0.5	0.0	0.2	0.0	0.3162	0.0	0.16428571428571428	0.17	0.15	0.16428571428571428	0.2	0.45	0.4	0.15	0.14	0.24914285714285714	0.16	0.24914285714285714	0.0	0.0	0.3364	0.13	0.0	0.24914285714285714	0.08	0.0
RXN-12710	0.19	0.1031496062992126	0.5546808510638298	0.258659793814433	0.257719298245614	0.33085714285714285	0.28	0.2958	0.2959459459459459	0.257719298245614	0.2958	0.0	0.0	0.2959459459459459	0.27	0.3	0.17	0.17	0.1	0.23	0.0	0.28928571428571426	0.5	0.2	0.3277777777777778	0.0	0.3286	0.0	0.28928571428571426	0.17	0.15	0.28928571428571426	0.4	0.45	0.4	0.15	0.2776271186440678	0.33085714285714285	0.23466666666666666	0.33085714285714285	0.8786206896551725	0.0	0.2958	0.257719298245614	0.0	0.33085714285714285	0.08	0.0
RXN-18777	0.19	0.1	0.0	0.132680412371134	0.13228070175438597	0.18	0.14	0.0	0.16216216216216217	0.13228070175438597	0.0	0.0	0.0	0.16216216216216217	0.54	0.15	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.2	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.15	0.2	0.65	0.0	0.0	0.14	0.18	0.16	0.18	0.0	0.0	0.0	0.13228070175438597	0.2	0.18	0.08	0.0
RXN-9362	0.20461538461538462	0.1	0.33	0.13	0.13	0.18	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.23	0.0	0.15	1.0	0.26666666666666666	0.2	0.0	0.5084	0.0	0.15	0.17	0.15	0.15	0.2	0.5	0.5	0.15	0.14	0.18	0.16	0.18	0.6096551724137931	0.25	0.29	0.13	0.2	0.18	0.08	0.25
RXN-11029	0.19	0.22939632545931762	0.33	0.13	0.13	0.18	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.1288888888888889	0.25
RXN0-1132	0.39461538461538465	0.2883202099737533	0.6880851063829788	0.13335051546391752	0.13	0.4107142857142857	0.14	0.6322	0.31013513513513513	0.13	0.6322	0.0	0.0	0.31013513513513513	0.72	0.15	0.4022281167108754	0.4022281167108754	0.31999999999999995	0.6900000000000001	0.0	0.15	1.0	0.4	0.2	0.0	0.589	0.0	0.15	0.4022281167108754	0.40844155844155844	0.15	0.4	0.9	0.7000000000000001	0.3	0.14010785824345148	0.4107142857142857	0.16	0.4107142857142857	2.03816091954023	0.25	0.6322	0.13	0.2	0.4107142857142857	0.27111111111111114	0.25
RXN-17524	0.19	0.0	0.0	0.0	0.13	0.0	0.14	0.0	0.15	0.13	0.0	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0
